dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
dummy_value	58096	old+man_20098990.html	58094	old+man_10188120.html
dummy_value	59704	over+the+hills+far+away_20081965.html	7727	beautiful+stranger_20086858.html
dummy_value	24443	fast+car_20201606.html	23788	eyeball+kid_20138870.html
dummy_value	25581	fly+me+to+the+moon_20486505.html	25580	fly+me+to+the+moon_20055348.html
dummy_value	27527	get+behind+the+mule_20138873.html	2199	after+the+thrill+is+gone_20044526.html
dummy_value	48218	living+loving+maid+shes+just+a+woman_20536983.html	31935	heartbreaker_20082019.html
dummy_value	3046	all+i+want+for+christmas_20238944.html	3035	all+i+want+for+christmas+is+you_20674349.html
dummy_value	62849	ramble+on_20306756.html	7230	barcarolle_20159028.html
dummy_value	16869	cry+cry+cry_20177425.html	16865	cry+cry+cry_20047177.html
dummy_value	32108	heaven_20025499.html	13516	cemetery+polka_20138918.html
dummy_value	40458	in+darkness+let+me+dwell_20535323.html	34940	human+nature_20086836.html
dummy_value	70581	stairway+to+heaven_20328938.html	21001	down+down+down_20138948.html
dummy_value	27067	funky+new+year_20197354.html	26416	frail+grasp+on+the+big+picture_20660632.html
dummy_value	26789	friends_20681821.html	21001	down+down+down_20138948.html
dummy_value	39135	igy_20469426.html	39134	igy_10142874.html
dummy_value	53815	motown+medley_20575601.html	42794	jackson+5+medley_20701521.html
dummy_value	29622	goodbye+to+innocence_20087003.html	17362	dance+2night_20740415.html
dummy_value	24283	famous+blue+raincoat_20139582.html	24282	famous+blue+raincoat_20082860.html
dummy_value	23025	evening+blue_20334432.html	23024	evening+blue_20131329.html
dummy_value	35728	i+cant+stop+loving+you_20711609.html	35723	i+cant+stop+lovin+you_20173985.html
dummy_value	42473	its+too+soon+to+know_20819677.html	42472	its+too+soon+to+know_20490999.html
dummy_value	32549	here+comes+santa+claus_20756193.html	32545	here+comes+santa+claus_20218173.html
dummy_value	67769	sick+again_20082115.html	13155	carouselambra_20081890.html
dummy_value	40586	in+my+time+of+dying_20279881.html	31945	heartbreaker_20965226.html
dummy_value	75144	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	23512	everything+you+can+think_20336531.html
dummy_value	29064	going+to+california_20081904.html	20996	down+by+the+seaside_20081995.html
dummy_value	3046	all+i+want+for+christmas_20238944.html	3038	all+i+want+for+christmas+is+you_20987283.html
dummy_value	78668	to+make+you+feel+my+love_20058084.html	3496	all+the+world+is+green_20239010.html
dummy_value	3046	all+i+want+for+christmas_20238944.html	3037	all+i+want+for+christmas+is+you_20985616.html
dummy_value	65819	say+it+isnt+so_20098086.html	65818	say+it+isnt+so_20068138.html
dummy_value	73753	tequila+sunrise_20044425.html	49181	louder+than+words_21089038.html
dummy_value	71846	subway_20522804.html	17160	cuts+like+a+knife_20025457.html
dummy_value	52416	metropolitan+glide_20463890.html	14701	clap+hands_20138919.html
dummy_value	4701	animal+crackers_20813138.html	4700	animal+crackers_20278688.html
dummy_value	59703	over+the+hills+and+far+away_10192503.html	41427	ireland_20058001.html
dummy_value	75144	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	6182	babe+im+gonna+leave+you_20082081.html
dummy_value	74688	the+crunge_20082012.html	27316	garth+brooks+christmas+the+gift_20826289.html
dummy_value	33272	higher+ground_20131813.html	32108	heaven_20025499.html
dummy_value	40392	impressive+instant_20086945.html	22414	elizabeth+i+love+you_20092839.html
dummy_value	60577	people_21027931.html	60575	people_20860204.html
dummy_value	60577	people_21027931.html	60576	people_20997917.html
dummy_value	42598	ive+got+a+good+thing+going_20058014.html	7230	barcarolle_20159028.html
dummy_value	25101	fire+and+rain_20586062.html	6542	back+in+business_20086873.html
dummy_value	33350	highwayman_20811350.html	33349	highwayman_20713257.html
dummy_value	33350	highwayman_20811350.html	33348	highwayman_20212662.html
dummy_value	75129	the+gift+of+the+magi_20075478.html	50584	lyin+eyes_20044572.html
dummy_value	63407	reggatta+de+blanc_20132297.html	21104	down+there+by+the+train_20679056.html
dummy_value	83472	white+christmas_20144705.html	83469	white+christmas_20064273.html
dummy_value	15616	come+with+me_20560209.html	146	16+shells+from+a+thirty+ought+six_20138946.html
dummy_value	71295	stone+in+love+with+you_10026993.html	11394	bron+y+aur+stomp_20082107.html
dummy_value	28714	go+your+own+way_20910348.html	28711	go+your+own+way_20054241.html
dummy_value	25896	for+emily_20559749.html	25895	for+emily+wherever+i+may+find+her+live_20688167.html
dummy_value	80905	victim+of+love_20044554.html	16664	crimes+of+passion_20086904.html
dummy_value	17362	dance+2night_20740415.html	6542	back+in+business_20086873.html
dummy_value	50699	mad+world_20639586.html	50698	mad+world_20135594.html
dummy_value	71295	stone+in+love+with+you_10026993.html	9606	blind+love_20021999.html
dummy_value	82309	were+gonna+win_20025445.html	22832	erotica_20086864.html
dummy_value	65941	scared+of+the+moon_20486416.html	5537	as+if_20098803.html
dummy_value	25581	fly+me+to+the+moon_20486505.html	25578	fly+me+to+the+moon_10186781.html
dummy_value	56831	nobodys+fault+but+mine_20062498.html	34999	hung+up_20536858.html
dummy_value	41117	inside+of+me_20086838.html	457	4+minutes_20736669.html
dummy_value	80536	until_20277730.html	56456	no+more+walks+in+the+wood_20659155.html
dummy_value	52752	mind+your+own+business_20709607.html	52750	mind+your+own+business_20064065.html
dummy_value	78905	tonight_20025644.html	7727	beautiful+stranger_20086858.html
dummy_value	81272	waiting+in+the+weeds_20660819.html	48604	long+road+out+of+eden_20659173.html
dummy_value	6170	baba+oriley_20106378.html	6169	baba+o+riley_20101075.html
dummy_value	24935	filipino+box+spring+hog_20138871.html	146	16+shells+from+a+thirty+ought+six_20138946.html
