dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.8533333333333334	58096	old+man_20098990.html	58094	old+man_10188120.html
0.94	25581	fly+me+to+the+moon_20486505.html	25580	fly+me+to+the+moon_20055348.html
0.92	53815	motown+medley_20575601.html	42794	jackson+5+medley_20701521.html
0.9066666666666666	24283	famous+blue+raincoat_20139582.html	24282	famous+blue+raincoat_20082860.html
1.0	23025	evening+blue_20334432.html	23024	evening+blue_20131329.html
0.9066666666666666	35728	i+cant+stop+loving+you_20711609.html	35723	i+cant+stop+lovin+you_20173985.html
0.9633333333333334	60577	people_21027931.html	60575	people_20860204.html
0.9	33350	highwayman_20811350.html	33349	highwayman_20713257.html
1.0	83472	white+christmas_20144705.html	83469	white+christmas_20064273.html
0.8566666666666667	25896	for+emily_20559749.html	25895	for+emily+wherever+i+may+find+her+live_20688167.html
0.9733333333333334	52752	mind+your+own+business_20709607.html	52750	mind+your+own+business_20064065.html
0.8833333333333333	18111	dear+heart_20056274.html	18109	dear+heart_20007901.html
0.9766666666666667	17137	cut+across+shorty_20117258.html	17136	cut+across+shorty_20052402.html
0.9133333333333333	83472	white+christmas_20144705.html	83465	white+christmas_10163489.html
1.0	37436	i+saw+the+light_20343227.html	37435	i+saw+the+light_20064074.html
0.86	21992	easter+parade_20106725.html	21991	easter+parade_20068099.html
1.0	69359	somebody+to+love_20112299.html	69358	somebody+to+love_20059273.html
1.0	82985	when+my+dreamboat+comes+home_21058729.html	82984	when+my+dreamboat+comes+home_20338970.html
1.0	16573	crazy_20177846.html	16462	crazy+arms_20177927.html
1.0	53910	movement+i+mercy_20005527.html	52287	mercy_20522077.html
1.0	72021	summer+nights_20126908.html	72019	summer+nights_20088755.html
1.0	52706	millionaire+blues_20089381.html	52705	millionaire+blues_20040797.html
1.0	44527	kentucky+woman_20228672.html	44526	kentucky+woman_20098874.html
0.8666666666666667	52666	milk+cow+blues_20089380.html	52664	milk+cow+blues_20059439.html
1.0	44527	kentucky+woman_20228672.html	44525	kentucky+woman_20038844.html
1.0	7724	beautiful+star+of+bethlehem_20674547.html	7723	beautiful+star+of+bethlehem_20162146.html
0.87	75438	the+impossible+dream_20869060.html	75435	the+impossible+dream_10010813.html
1.0	83093	when+will+i+see+you_20827750.html	33844	hollywood+perfume_20110660.html
0.9833333333333333	37960	i+want+you+to+want+me_20463594.html	37958	i+want+you+to+want+me_20346175.html
0.9533333333333334	20552	dont+save+it+all+for+christmas+day_20689342.html	20551	dont+save+it+all+for+christmas+day_20186156.html
1.0	83481	white+christmas_20765488.html	83480	white+christmas_20762110.html
1.0	8437	beth_20881848.html	8436	beth_20079696.html
1.0	55854	new+orleans_20553614.html	55852	new+orleans_20131406.html
0.9333333333333333	64399	rock+ya+like+a+hurricane_20456905.html	35044	hurricane+2000_20219229.html
1.0	71580	stranger+to+himself_20326859.html	71579	stranger+to+himself_20131455.html
0.94	56104	night+owl_20069282.html	56103	night+owl_20027242.html
1.0	47228	life+is+just+a+bowl+of+cherries_20823767.html	47227	life+is+just+a+bowl+of+cherries_20072794.html
0.9966666666666667	38648	if+i+had+you_20089367.html	38647	if+i+had+you_20040794.html
1.0	15475	come+on_10224713.html	15469	come+on+part+iii_20921398.html
0.98	7792	beauty+the+beast_20163462.html	7780	beauty+of+the+beast_20482930.html
0.99	81773	waterhole_10174756.html	81772	waterhole_10116441.html
1.0	20160	dont+explain_20813105.html	20156	dont+explain_20017786.html
0.8666666666666667	38315	i+wont+last+a+day+without+you_20699679.html	38314	i+wont+last+a+day+without+you_20547250.html
0.9833333333333333	56619	no+self+control_20622747.html	56618	no+self+control_20107446.html
0.89	47237	life+is+so+peculiar_20824040.html	47235	life+is+so+peculiar_20490009.html
1.0	23654	exactly+like+you_20816526.html	23653	exactly+like+you_20816465.html
1.0	21321	dream+on_20629082.html	19830	doin+alright_20185259.html
0.9066666666666666	49392	love+gun_20101100.html	49391	love+gun_20079886.html
1.0	17414	dance+the+night+away_20051519.html	17413	dance+the+night+away_20034166.html
1.0	20599	dont+speak_21048149.html	20598	dont+speak_20063660.html
0.9633333333333334	69377	somebody_20641946.html	69374	somebody_20039351.html
1.0	85686	you+your+friend_20089407.html	85685	you+your+friend_20040774.html
0.85	12755	cant+help+falling+in+love_20724443.html	12752	cant+help+falling+in+love_20503533.html
0.86	21249	draw+me+close_10180217.html	21248	draw+me+close+to+you_20626652.html
1.0	67095	she+loves+me+she+loves+me+not_20634246.html	67094	she+loves+me+not_20052568.html
0.9266666666666666	73384	teach+me+tonight_20723205.html	73383	teach+me+tonight_20700680.html
1.0	34448	hound+dog_20832764.html	34445	hound+dog_20476224.html
0.87	34448	hound+dog_20832764.html	34442	hound+dog_20122673.html
0.9133333333333333	20238	dont+give+up_20184873.html	20235	dont+give+up_20107494.html
0.8666666666666667	34170	honky+tonk+women_21017014.html	34163	honky+tonk+woman_20216933.html
