id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
59704	7727	dummy_value	over+the+hills+far+away_20081965.html	beautiful+stranger_20086858.html
24443	23788	dummy_value	fast+car_20201606.html	eyeball+kid_20138870.html
27527	2199	dummy_value	get+behind+the+mule_20138873.html	after+the+thrill+is+gone_20044526.html
48218	31935	dummy_value	living+loving+maid+shes+just+a+woman_20536983.html	heartbreaker_20082019.html
3046	3035	dummy_value	all+i+want+for+christmas_20238944.html	all+i+want+for+christmas+is+you_20674349.html
62849	7230	dummy_value	ramble+on_20306756.html	barcarolle_20159028.html
16869	16865	dummy_value	cry+cry+cry_20177425.html	cry+cry+cry_20047177.html
32108	13516	dummy_value	heaven_20025499.html	cemetery+polka_20138918.html
40458	34940	dummy_value	in+darkness+let+me+dwell_20535323.html	human+nature_20086836.html
70581	21001	dummy_value	stairway+to+heaven_20328938.html	down+down+down_20138948.html
27067	26416	dummy_value	funky+new+year_20197354.html	frail+grasp+on+the+big+picture_20660632.html
26789	21001	dummy_value	friends_20681821.html	down+down+down_20138948.html
39135	39134	dummy_value	igy_20469426.html	igy_10142874.html
29622	17362	dummy_value	goodbye+to+innocence_20087003.html	dance+2night_20740415.html
42473	42472	dummy_value	its+too+soon+to+know_20819677.html	its+too+soon+to+know_20490999.html
32549	32545	dummy_value	here+comes+santa+claus_20756193.html	here+comes+santa+claus_20218173.html
67769	13155	dummy_value	sick+again_20082115.html	carouselambra_20081890.html
40586	31945	dummy_value	in+my+time+of+dying_20279881.html	heartbreaker_20965226.html
75144	23512	dummy_value	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	everything+you+can+think_20336531.html
29064	20996	dummy_value	going+to+california_20081904.html	down+by+the+seaside_20081995.html
3046	3038	dummy_value	all+i+want+for+christmas_20238944.html	all+i+want+for+christmas+is+you_20987283.html
78668	3496	dummy_value	to+make+you+feel+my+love_20058084.html	all+the+world+is+green_20239010.html
3046	3037	dummy_value	all+i+want+for+christmas_20238944.html	all+i+want+for+christmas+is+you_20985616.html
65819	65818	dummy_value	say+it+isnt+so_20098086.html	say+it+isnt+so_20068138.html
73753	49181	dummy_value	tequila+sunrise_20044425.html	louder+than+words_21089038.html
71846	17160	dummy_value	subway_20522804.html	cuts+like+a+knife_20025457.html
52416	14701	dummy_value	metropolitan+glide_20463890.html	clap+hands_20138919.html
4701	4700	dummy_value	animal+crackers_20813138.html	animal+crackers_20278688.html
59703	41427	dummy_value	over+the+hills+and+far+away_10192503.html	ireland_20058001.html
75144	6182	dummy_value	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	babe+im+gonna+leave+you_20082081.html
74688	27316	dummy_value	the+crunge_20082012.html	garth+brooks+christmas+the+gift_20826289.html
33272	32108	dummy_value	higher+ground_20131813.html	heaven_20025499.html
40392	22414	dummy_value	impressive+instant_20086945.html	elizabeth+i+love+you_20092839.html
60577	60576	dummy_value	people_21027931.html	people_20997917.html
42598	7230	dummy_value	ive+got+a+good+thing+going_20058014.html	barcarolle_20159028.html
25101	6542	dummy_value	fire+and+rain_20586062.html	back+in+business_20086873.html
33350	33348	dummy_value	highwayman_20811350.html	highwayman_20212662.html
75129	50584	dummy_value	the+gift+of+the+magi_20075478.html	lyin+eyes_20044572.html
63407	21104	dummy_value	reggatta+de+blanc_20132297.html	down+there+by+the+train_20679056.html
15616	146	dummy_value	come+with+me_20560209.html	16+shells+from+a+thirty+ought+six_20138946.html
71295	11394	dummy_value	stone+in+love+with+you_10026993.html	bron+y+aur+stomp_20082107.html
28714	28711	dummy_value	go+your+own+way_20910348.html	go+your+own+way_20054241.html
80905	16664	dummy_value	victim+of+love_20044554.html	crimes+of+passion_20086904.html
17362	6542	dummy_value	dance+2night_20740415.html	back+in+business_20086873.html
50699	50698	dummy_value	mad+world_20639586.html	mad+world_20135594.html
71295	9606	dummy_value	stone+in+love+with+you_10026993.html	blind+love_20021999.html
82309	22832	dummy_value	were+gonna+win_20025445.html	erotica_20086864.html
65941	5537	dummy_value	scared+of+the+moon_20486416.html	as+if_20098803.html
25581	25578	dummy_value	fly+me+to+the+moon_20486505.html	fly+me+to+the+moon_10186781.html
56831	34999	dummy_value	nobodys+fault+but+mine_20062498.html	hung+up_20536858.html
41117	457	dummy_value	inside+of+me_20086838.html	4+minutes_20736669.html
80536	56456	dummy_value	until_20277730.html	no+more+walks+in+the+wood_20659155.html
78905	7727	dummy_value	tonight_20025644.html	beautiful+stranger_20086858.html
81272	48604	dummy_value	waiting+in+the+weeds_20660819.html	long+road+out+of+eden_20659173.html
6170	6169	dummy_value	baba+oriley_20106378.html	baba+o+riley_20101075.html
24935	146	dummy_value	filipino+box+spring+hog_20138871.html	16+shells+from+a+thirty+ought+six_20138946.html
34345	25946	dummy_value	hot+dog_20081909.html	for+once+in+my+life_20058204.html
83472	83466	dummy_value	white+christmas_20144705.html	white+christmas_20004967.html
38246	25101	dummy_value	i+wish_20337973.html	fire+and+rain_20586062.html
50699	50690	dummy_value	mad+world_20639586.html	mad+mad+world_20986795.html
23512	12888	dummy_value	everything+you+can+think_20336531.html	cant+stop_20086992.html
60846	41568	dummy_value	picture+in+a+frame_20138877.html	is+your+mama+gonna+miss+ya_20025630.html
50964	7727	dummy_value	make+it+rain_20463891.html	beautiful+stranger_20086858.html
54492	43064	dummy_value	my+doorbell_20462468.html	jeremy_20075467.html
23512	12882	dummy_value	everything+you+can+think_20336531.html	cant+stop+this+thing+we+started_20025535.html
23245	7727	dummy_value	everybody+hurts_20693319.html	beautiful+stranger_20086858.html
71544	35743	dummy_value	strange+weather_20088711.html	i+cant+tell+you+why_20144418.html
30844	146	dummy_value	hanky+panky_20086875.html	16+shells+from+a+thirty+ought+six_20138946.html
47129	42939	dummy_value	lie+to+me_20679070.html	jaynes+blue+wish_20679065.html
31419	8394	dummy_value	have+you+seen+the+bright+lily+grow_20535331.html	best+of+my+love_20809640.html
60846	4856	dummy_value	picture+in+a+frame_20138877.html	another+mans+vine_20463916.html
58441	58440	dummy_value	once+upon+a+christmas_20792691.html	once+upon+a+christmas_20674412.html
50008	17732	dummy_value	love+tried+to+welcome+me_20086839.html	darkness_20004246.html
75042	20647	dummy_value	the+flowers+of+guatemala_20115263.html	dont+stop_20086834.html
11231	5607	dummy_value	bring+it+on+home_20082053.html	as+time+goes+by_20320692.html
40458	34999	dummy_value	in+darkness+let+me+dwell_20535323.html	hung+up_20536858.html
15840	4560	dummy_value	coney+island+baby_20174293.html	angel_20086921.html
16664	8257	dummy_value	crimes+of+passion_20086904.html	bend+down+the+branches_20722276.html
72934	9606	dummy_value	take+it+to+the+limit_20805980.html	blind+love_20021999.html
50503	34999	dummy_value	lullaby_20237441.html	hung+up_20536858.html
71295	60305	dummy_value	stone+in+love+with+you_10026993.html	passive+manipulation_10187180.html
47830	24935	dummy_value	little+david_20075469.html	filipino+box+spring+hog_20138871.html
74578	74576	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10188894.html
31383	31382	dummy_value	have+you+ever+been+in+love_20222094.html	have+you+ever+been+in+love_20107390.html
79328	21103	dummy_value	trapped+in+the+drive+thru_20532161.html	down+there+by+the+train_20191745.html
56831	34940	dummy_value	nobodys+fault+but+mine_20062498.html	human+nature_20086836.html
27987	21737	dummy_value	gimme+gimme+gimme+a+man+after+midnight_20930419.html	dude+looks+like+a+lady_20473395.html
25982	25980	dummy_value	for+the+good+times_20106588.html	for+the+good+times_20049674.html
66848	3168	dummy_value	shake+your+body_20213323.html	all+my+love_20082142.html
74578	74572	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10003775.html
59577	3168	dummy_value	out+on+the+tiles_20611286.html	all+my+love_20082142.html
50964	47830	dummy_value	make+it+rain_20463891.html	little+david_20075469.html
74578	74574	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10163493.html
24693	24691	dummy_value	feelin+alright_20196052.html	feelin+alright_20131336.html
26086	7998	dummy_value	forbidden+love_20086966.html	before+the+night+is+over_20025507.html
47830	40188	dummy_value	little+david_20075469.html	im+still+here_20265163.html
73842	11863	dummy_value	thank+you_20315508.html	busy+being+fabulous_20659156.html
33450	11231	dummy_value	history_20620339.html	bring+it+on+home_20082053.html
